u,v,key,betweenness
49723598,49723601,0,1.6810784828698401e-06
49723601,13256237913,0,1.3369050183296243e-05
49723707,652905931,0,0.0
49723707,1441008457,0,2.3634570859755857e-05
49723815,49772535,0,9.60502593526105e-05
49723816,13731450592,0,0.0001601998163705253
49723816,49723815,0,9.944225794822361e-05
49723977,1013367218,0,0.0
49723981,639446397,0,0.0002688631379496385
49724031,1360061299,0,8.31288336174157e-05
49724031,49759828,0,7.736939905184388e-05
49724042,49759828,0,7.261463269201084e-06
49724042,49789379,0,8.355656364560152e-07
49724042,49724031,0,2.6658522686930007e-06
49724086,3001016701,0,2.894638097722624e-06
49724086,49758454,0,2.6330264758322288e-05
49724092,49717801,0,0.0007965626262114434
49724179,49724092,0,0.0007340344644166516
49724179,655661924,0,4.2036909281703814e-05
49724252,49724253,0,2.925474448591834e-05
49724252,49775530,0,6.251821458483399e-05
49724253,49724252,0,6.25281617947918e-05
49724253,49791806,0,1.0902142113759437e-05
49724253,49752377,0,2.0451463673256753e-05
49724259,49753973,0,1.8700754720682245e-06
49724259,13666070323,0,0.00011558657970974877
49724268,49755317,0,3.1831071864991055e-07
49724268,49739286,0,0.0
49724268,1486620614,0,3.4815234852333965e-06
49724268,49755306,0,1.0941930953590675e-07
49724285,49724289,0,0.00012284804297894985
49724285,49744591,0,1.0215784626670566e-05
49724285,49743669,0,5.5097595956307955e-05
49724285,49743686,0,2.8041184871065557e-05
49724289,49724285,0,4.119139643528998e-05
49724289,49746706,0,0.00033007826802999943
49724289,49743686,0,0.00015882710139634757
49724333,49755064,0,8.514811723885108e-06
49724333,1469286241,0,3.4815234852333965e-06
49724333,49835112,0,8.952488962028735e-08
49724366,642586562,0,6.640757367833758e-05
49724366,13265637013,0,0.002986828839611604
49724384,49859579,0,6.167270173842017e-07
49724384,49734797,0,2.054098856287704e-05
49724395,1618429530,0,6.624841831901263e-06
49724395,655680518,0,0.0
49724395,6659463410,0,1.3926093940933586e-05
49724395,49734802,0,5.709698515782771e-06
49724678,49793999,0,2.3833515058912052e-05
49724678,663521278,0,3.4815234852333965e-06
49724678,49806268,0,3.8794118835457846e-07
49724749,49747376,0,5.968325974685823e-07
49724749,49724750,0,2.4340822766760346e-05
49724750,49754993,0,0.0
49724750,49724749,0,1.34287334430431e-06
49724750,49772362,0,2.161528723832049e-05
49724752,49724754,0,1.813376375308709e-05
49724752,49751716,0,5.993193999580347e-05
49724752,1482015590,0,3.4815234852333965e-06
49724754,49724752,0,6.26375811043277e-05
49724754,49751675,0,0.00011247310299295433
49724754,49787261,0,1.5199336815533229e-05
49725530,850161979,0,3.4715762752755868e-06
49725530,49771437,0,9.514506324644982e-05
49725530,49771441,0,4.5757165805924645e-06
49725576,3001253763,0,0.0002243991094382291
49725576,49748184,0,6.371187977977116e-05
49725576,49777792,0,6.492543939462394e-05
49725844,776362095,0,0.0
49725844,49753628,0,0.0
49725844,49836447,0,0.0
49725862,49725881,0,5.387408913149736e-05
49725862,5600659717,0,0.0
49725881,49725862,0,0.0
49725881,49733957,0,3.4815234852333965e-06
49725881,10985284889,0,4.6911042161030565e-05
49726164,4375509543,0,3.4815234852333965e-06
49726164,49749813,0,2.9841629873429115e-08
49726164,8386386295,0,5.669909675951532e-07
49726196,49729003,0,4.37677238143627e-07
49726196,641056144,0,1.4920814936714556e-07
49726196,638210713,0,5.0631298685251395e-06
49726250,9124197005,0,8.617267986450547e-05
49726250,638210869,0,0.0007496018480006237
49726311,49892134,0,0.0
49726311,3007587814,0,3.4516818553599677e-06
49726318,49726338,0,0.0
49726318,49748318,0,2.9841629873429115e-08
49726318,49788384,0,9.74826575865351e-07
49726338,49748328,0,6.59102131804471e-05
49726338,49748318,0,7.632494200627386e-05
49726341,49844276,0,8.853016862450637e-07
49726341,49826564,0,0.00023847441152852986
49726341,655442844,0,8.246237055024245e-06
49726342,49726341,0,0.00018028323327534307
49726342,49844276,0,1.7805505824479371e-06
49726342,49754994,0,0.00023408769193713577
49726390,49726946,0,2.248069450464993e-05
49726390,49776883,0,2.6320317548364477e-05
49726390,584597180,0,3.4815234852333965e-06
49726402,49801532,0,7.970699339192917e-05
49726402,12512580989,0,3.4815234852333965e-06
49726402,49727521,0,6.366214372998211e-05
49726407,49726410,0,0.0
49726410,49745721,0,1.2931372945152617e-07
49726410,49726407,0,3.4815234852333965e-06
49726410,49790409,0,0.0
49726410,49893580,0,3.2825792860772026e-06
49726414,49726417,0,0.0
49726417,49726419,0,3.4815234852333965e-06
49726417,49726414,0,3.4815234852333965e-06
49726417,49726425,0,0.0
49726419,49726417,0,0.0
49726425,49726417,0,1.044457045570019e-05
49726425,49726534,0,0.0
49726425,49726464,0,0.0
49726427,49726439,0,0.0
