u,v,key,aadt
49745938,49760709,0,1193.0
49745995,1564556245,0,4863.0
49746034,49745995,0,4863.0
49746174,49744292,0,10553.0
49746267,49759090,0,5961.0
49746274,49746276,0,1284.0
49746274,2382621917,0,1284.0
49746276,49746274,0,1284.0
49746276,49746280,0,1284.0
49746280,49746286,0,1284.0
49746295,49787118,0,1535.0
49746301,49746295,0,1284.0
49746301,49789492,0,9306.0
49746304,49746301,0,1284.0
49746417,49809494,0,6495.0
49746428,49754673,0,19543.0
49746439,49754681,0,7778.0
49746516,49754643,0,2739.0
49746516,49789704,0,2739.0
49746521,13256450869,0,6495.0
49746583,49818890,0,6826.0
49746583,49818900,0,6826.0
49746655,49837513,0,8010.0
49746655,49851413,0,8010.0
49746668,640784713,0,19543.0
49746668,13431097737,0,19543.0
49746670,3370866916,0,7396.0
49746706,49764754,0,17618.0
49746854,49743817,0,6219.0
49746854,49759518,0,6219.0
49747094,49790386,0,2032.0
49747116,49765062,0,6984.0
49747135,49748307,0,13242.0
49747163,49800012,0,5914.0
49747163,49802245,0,5914.0
49747281,49756155,0,11997.0
49747281,49756170,0,11997.0
49747291,49758503,0,5981.0
49747291,49849268,0,5981.0
49747311,49739465,0,14991.0
49747351,49780915,0,10045.0
49747351,49798243,0,10045.0
49747443,49803116,0,6724.0
49747467,49764877,0,6752.0
49747467,49826533,0,6752.0
49747494,642395689,0,4882.0
49747512,655448766,0,16670.0
49747512,12270087211,0,7471.0
49747620,49811697,0,3609.0
49747620,3798943074,0,3609.0
49747702,3372448432,0,9027.0
49747828,49826783,0,2513.0
49747828,49851451,0,2513.0
49747865,49752584,0,4509.0
49747865,49752599,0,4509.0
49747879,49765318,0,2558.0
49747955,49825409,0,6272.0
49747955,49876468,0,6272.0
49747960,3667950065,0,16772.0
49748050,49796966,0,2017.0
49748054,49817406,0,2280.0
49748067,49748071,0,11057.0
49748071,49748075,0,11057.0
49748075,49748079,0,11057.0
49748079,49748081,0,11057.0
49748081,49748084,0,11057.0
49748091,49748084,0,11057.0
49748094,49748091,0,11057.0
49748094,49748097,0,11057.0
49748094,49749446,0,4606.0
49748106,49748097,0,11057.0
49748106,49754597,0,11057.0
49748151,49802852,0,3004.0
49748151,49819792,0,3004.0
49748151,9257612257,0,859.0
49748155,49748151,0,859.0
49748155,3744956563,0,859.0
